Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,070246,1985,10,66.4,Y
IDCJAC0001,070246,1985,11,79.2,Y
IDCJAC0001,070246,1985,12,49.3,Y
IDCJAC0001,070246,1986,01,43.3,Y
IDCJAC0001,070246,1986,02,7.0,Y
IDCJAC0001,070246,1986,03,2.1,Y
IDCJAC0001,070246,1986,04,61.0,Y
IDCJAC0001,070246,1986,05,53.8,Y
IDCJAC0001,070246,1986,06,7.6,Y
IDCJAC0001,070246,1986,07,108.8,Y
IDCJAC0001,070246,1986,08,52.3,Y
IDCJAC0001,070246,1986,09,37.0,Y
IDCJAC0001,070246,1986,10,88.5,Y
IDCJAC0001,070246,1986,11,101.2,Y
IDCJAC0001,070246,1986,12,18.4,Y
IDCJAC0001,070246,1987,01,19.6,Y
IDCJAC0001,070246,1987,02,79.8,Y
IDCJAC0001,070246,1987,03,23.7,Y
IDCJAC0001,070246,1987,04,14.4,Y
IDCJAC0001,070246,1987,05,54.1,Y
IDCJAC0001,070246,1987,06,47.4,Y
IDCJAC0001,070246,1987,07,33.8,Y
IDCJAC0001,070246,1987,08,51.4,Y
IDCJAC0001,070246,1987,09,23.2,Y
IDCJAC0001,070246,1987,10,39.2,Y
IDCJAC0001,070246,1987,11,89.0,Y
IDCJAC0001,070246,1987,12,115.2,Y
IDCJAC0001,070246,1988,01,20.2,Y
IDCJAC0001,070246,1988,02,45.6,Y
IDCJAC0001,070246,1988,03,17.2,Y
IDCJAC0001,070246,1989,03,246.4,N
IDCJAC0001,070246,1989,04,276.9,N
IDCJAC0001,070246,1989,05,49.4,Y
IDCJAC0001,070246,1989,06,31.2,Y
IDCJAC0001,070246,1989,07,40.5,Y
IDCJAC0001,070246,1989,08,32.9,Y
IDCJAC0001,070246,1989,09,9.4,Y
IDCJAC0001,070246,1989,10,31.9,Y
IDCJAC0001,070246,1989,11,161.7,Y
IDCJAC0001,070246,1989,12,62.4,Y
IDCJAC0001,070246,1990,01,44.1,Y
IDCJAC0001,070246,1990,02,94.0,Y
IDCJAC0001,070246,1990,03,26.0,Y
IDCJAC0001,070246,1990,04,132.7,Y
IDCJAC0001,070246,1990,05,87.2,Y
IDCJAC0001,070246,1990,06,16.6,Y
IDCJAC0001,070246,1990,07,71.7,Y
IDCJAC0001,070246,1990,08,39.9,Y
IDCJAC0001,070246,1990,09,25.0,Y
IDCJAC0001,070246,1990,10,59.6,Y
IDCJAC0001,070246,1990,11,19.6,Y
IDCJAC0001,070246,1990,12,20.3,Y
IDCJAC0001,070246,1991,01,106.1,Y
IDCJAC0001,070246,1991,02,14.4,Y
IDCJAC0001,070246,1991,03,19.8,Y
IDCJAC0001,070246,1991,04,10.7,Y
IDCJAC0001,070246,1991,05,34.0,Y
IDCJAC0001,070246,1991,06,115.0,Y
IDCJAC0001,070246,1991,07,118.0,Y
IDCJAC0001,070246,1991,08,75.5,Y
IDCJAC0001,070246,1991,09,57.9,Y
IDCJAC0001,070246,1991,10,21.6,Y
IDCJAC0001,070246,1991,11,26.4,Y
IDCJAC0001,070246,1991,12,70.2,Y
IDCJAC0001,070246,1992,01,123.6,Y
IDCJAC0001,070246,1992,02,63.2,Y
IDCJAC0001,070246,1992,03,85.0,Y
IDCJAC0001,070246,1992,04,31.9,Y
IDCJAC0001,070246,1992,05,40.8,Y
IDCJAC0001,070246,1992,06,17.5,Y
IDCJAC0001,070246,1992,07,20.8,Y
IDCJAC0001,070246,1992,08,87.2,Y
IDCJAC0001,070246,1992,09,75.1,Y
IDCJAC0001,070246,1992,10,86.4,Y
IDCJAC0001,070246,1992,11,126.7,Y
IDCJAC0001,070246,1992,12,80.1,Y
IDCJAC0001,070246,1993,01,119.3,Y
IDCJAC0001,070246,1993,02,49.8,Y
IDCJAC0001,070246,1993,03,97.6,Y
IDCJAC0001,070246,1993,04,3.8,Y
IDCJAC0001,070246,1993,05,23.4,Y
IDCJAC0001,070246,1993,06,23.9,Y
IDCJAC0001,070246,1993,07,137.7,Y
IDCJAC0001,070246,1993,08,14.5,Y
IDCJAC0001,070246,1993,09,93.4,Y
IDCJAC0001,070246,1993,10,55.8,Y
IDCJAC0001,070246,1993,11,67.4,Y
IDCJAC0001,070246,1993,12,15.4,Y
IDCJAC0001,070246,1994,01,11.4,Y
IDCJAC0001,070246,1994,02,63.1,Y
IDCJAC0001,070246,1994,03,29.9,Y
IDCJAC0001,070246,1994,04,69.4,Y
IDCJAC0001,070246,1994,05,11.6,Y
IDCJAC0001,070246,1994,06,33.6,Y
IDCJAC0001,070246,1994,07,5.8,Y
IDCJAC0001,070246,1994,09,26.8,Y
IDCJAC0001,070246,1997,01,37.0,Y
IDCJAC0001,070246,1997,02,38.0,Y
IDCJAC0001,070246,1997,03,36.5,Y
IDCJAC0001,070246,1997,04,0.0,Y
IDCJAC0001,070246,1997,05,18.5,Y
IDCJAC0001,070246,1997,06,86.0,Y
IDCJAC0001,070246,1997,07,6.0,Y
IDCJAC0001,070246,1997,08,17.5,Y
IDCJAC0001,070246,1997,09,92.5,Y
IDCJAC0001,070246,1997,10,23.5,Y
IDCJAC0001,070246,1997,11,15.0,Y
IDCJAC0001,070246,1997,12,7.0,Y
IDCJAC0001,070246,1998,01,28.5,Y
IDCJAC0001,070246,1998,02,26.0,Y
IDCJAC0001,070246,1998,03,1.3,Y
IDCJAC0001,070246,1998,04,27.5,Y
IDCJAC0001,070246,1998,05,27.7,Y
IDCJAC0001,070246,1998,06,102.0,Y
IDCJAC0001,070246,1998,07,66.0,Y
IDCJAC0001,070246,1998,09,45.3,Y
IDCJAC0001,070246,1998,10,55.5,Y
IDCJAC0001,070246,1998,11,90.0,Y
IDCJAC0001,070246,1998,12,20.0,Y
IDCJAC0001,070246,1999,01,66.0,Y
IDCJAC0001,070246,1999,02,9.0,Y
IDCJAC0001,070246,1999,03,67.5,Y
IDCJAC0001,070246,1999,04,49.5,Y
IDCJAC0001,070246,1999,05,28.5,Y
IDCJAC0001,070246,1999,06,42.5,Y
IDCJAC0001,070246,1999,07,26.0,Y
IDCJAC0001,070246,1999,08,51.0,Y
IDCJAC0001,070246,1999,09,68.0,Y
IDCJAC0001,070246,1999,10,118.5,Y
IDCJAC0001,070246,1999,11,60.0,Y
IDCJAC0001,070246,1999,12,138.5,Y
IDCJAC0001,070246,2000,01,42.0,Y
IDCJAC0001,070246,2000,02,13.0,Y
IDCJAC0001,070246,2000,05,39.7,Y
IDCJAC0001,070246,2000,06,19.3,Y
IDCJAC0001,070246,2000,10,96.0,Y
IDCJAC0001,070246,2000,11,182.5,Y
IDCJAC0001,070246,2000,12,24.5,Y
IDCJAC0001,070246,2001,04,10.0,Y
IDCJAC0001,070246,2001,05,2.5,Y
IDCJAC0001,070246,2001,12,20.0,Y
IDCJAC0001,070246,2002,04,28.5,Y
IDCJAC0001,070246,2002,05,26.0,Y
IDCJAC0001,070246,2002,06,47.5,Y
IDCJAC0001,070246,2002,07,21.0,Y
IDCJAC0001,070246,2002,08,24.0,Y
IDCJAC0001,070246,2002,09,82.0,Y
IDCJAC0001,070246,2002,10,8.0,Y
IDCJAC0001,070246,2002,11,1.0,Y
IDCJAC0001,070246,2002,12,22.0,Y
IDCJAC0001,070246,2003,01,11.0,Y
IDCJAC0001,070246,2003,02,65.0,Y
IDCJAC0001,070246,2003,03,73.5,Y
IDCJAC0001,070246,2003,04,17.0,Y
IDCJAC0001,070246,2003,05,14.5,Y
IDCJAC0001,070246,2003,06,42.0,Y
IDCJAC0001,070246,2003,07,31.0,Y
IDCJAC0001,070246,2003,09,31.8,Y
IDCJAC0001,070246,2004,01,69.5,Y
IDCJAC0001,070246,2004,02,22.0,Y
IDCJAC0001,070246,2004,03,4.5,Y
IDCJAC0001,070246,2004,04,3.5,Y
IDCJAC0001,070246,2004,05,12.5,Y
IDCJAC0001,070246,2004,06,14.5,Y
IDCJAC0001,070246,2004,08,50.0,Y
IDCJAC0001,070246,2004,09,56.5,Y
IDCJAC0001,070246,2004,11,92.0,Y
IDCJAC0001,070246,2004,12,88.0,Y
IDCJAC0001,070246,2005,01,37.0,Y
IDCJAC0001,070246,2005,02,43.5,Y
IDCJAC0001,070246,2005,03,48.5,Y
IDCJAC0001,070246,2005,04,8.0,Y
IDCJAC0001,070246,2005,05,1.0,Y
IDCJAC0001,070246,2005,06,81.0,Y
IDCJAC0001,070246,2005,07,91.0,Y
IDCJAC0001,070246,2005,08,46.0,Y
IDCJAC0001,070246,2005,09,120.5,Y
IDCJAC0001,070246,2005,10,99.5,Y
IDCJAC0001,070246,2005,11,80.5,Y
IDCJAC0001,070246,2005,12,22.0,Y
IDCJAC0001,070246,2006,01,90.5,Y
IDCJAC0001,070246,2006,02,11.5,Y
IDCJAC0001,070246,2006,03,22.0,Y
IDCJAC0001,070246,2006,04,16.0,Y
IDCJAC0001,070246,2006,05,5.0,Y
IDCJAC0001,070246,2006,06,80.5,Y
IDCJAC0001,070246,2006,07,46.0,Y
IDCJAC0001,070246,2006,08,12.5,Y
IDCJAC0001,070246,2006,09,13.5,Y
IDCJAC0001,070246,2006,10,4.0,Y
IDCJAC0001,070246,2006,11,39.5,Y
IDCJAC0001,070246,2006,12,49.0,Y
IDCJAC0001,070246,2007,01,25.5,Y
IDCJAC0001,070246,2007,02,104.0,Y
IDCJAC0001,070246,2007,05,50.0,Y
IDCJAC0001,070246,2007,06,75.5,Y
IDCJAC0001,070246,2007,07,23.0,Y
IDCJAC0001,070246,2007,08,14.5,Y
IDCJAC0001,070246,2007,09,12.5,Y
IDCJAC0001,070246,2007,10,33.0,Y
IDCJAC0001,070246,2007,11,83.5,Y
IDCJAC0001,070246,2007,12,131.0,Y
IDCJAC0001,070246,2008,01,46.5,Y
IDCJAC0001,070246,2008,02,48.0,Y
IDCJAC0001,070246,2008,03,29.5,Y
IDCJAC0001,070246,2008,04,19.5,Y
IDCJAC0001,070246,2008,05,13.0,Y
IDCJAC0001,070246,2008,06,28.5,Y
IDCJAC0001,070246,2008,07,48.5,Y
IDCJAC0001,070246,2008,08,26.5,Y
IDCJAC0001,070246,2008,09,49.0,Y
IDCJAC0001,070246,2008,10,28.5,Y
IDCJAC0001,070246,2008,12,118.5,Y
IDCJAC0001,070246,2009,01,41.2,Y
IDCJAC0001,070246,2009,02,3.4,Y
IDCJAC0001,070246,2009,03,33.3,Y
IDCJAC0001,070246,2009,04,82.7,Y
IDCJAC0001,070246,2009,05,3.2,Y
IDCJAC0001,070246,2009,06,32.2,Y
IDCJAC0001,070246,2009,07,54.6,Y
IDCJAC0001,070246,2009,08,32.2,Y
IDCJAC0001,070246,2009,09,60.6,Y
IDCJAC0001,070246,2009,10,52.9,Y
IDCJAC0001,070246,2009,11,15.4,Y
IDCJAC0001,070246,2009,12,74.9,Y
IDCJAC0001,070246,2010,01,9.3,Y
IDCJAC0001,070246,2010,02,140.8,Y
IDCJAC0001,070246,2010,04,21.9,Y
IDCJAC0001,070246,2010,06,33.1,Y
IDCJAC0001,070246,2010,08,90.1,Y
IDCJAC0001,070246,2010,09,87.6,Y
IDCJAC0001,070246,2010,10,116.8,Y
IDCJAC0001,070246,2010,11,128.6,Y
IDCJAC0001,070246,2010,12,173.0,Y
IDCJAC0001,070246,2011,01,69.4,Y
IDCJAC0001,070246,2011,04,9.4,Y
IDCJAC0001,070246,2011,05,17.0,Y
IDCJAC0001,070246,2011,06,11.2,Y
IDCJAC0001,070246,2011,07,29.5,Y
IDCJAC0001,070246,2011,08,59.4,Y
IDCJAC0001,070246,2011,09,40.6,Y
IDCJAC0001,070246,2011,10,41.4,Y
IDCJAC0001,070246,2011,11,138.0,Y
IDCJAC0001,070246,2011,12,109.0,Y
IDCJAC0001,070246,2012,01,45.8,Y
IDCJAC0001,070246,2012,02,172.7,Y
IDCJAC0001,070246,2012,03,217.2,Y
IDCJAC0001,070246,2012,04,22.4,Y
IDCJAC0001,070246,2012,05,22.8,Y
IDCJAC0001,070246,2012,07,42.2,Y
IDCJAC0001,070246,2012,08,43.6,Y
IDCJAC0001,070246,2012,09,43.3,Y
IDCJAC0001,070246,2012,10,58.8,Y
IDCJAC0001,070246,2012,11,33.7,Y
IDCJAC0001,070246,2013,01,66.8,Y
IDCJAC0001,070246,2013,02,56.6,Y
IDCJAC0001,070246,2013,03,36.4,Y
IDCJAC0001,070246,2013,04,12.2,Y
IDCJAC0001,070246,2013,05,12.4,Y
IDCJAC0001,070246,2013,06,78.8,Y
IDCJAC0001,070246,2013,07,61.6,Y
IDCJAC0001,070246,2013,08,30.0,Y
IDCJAC0001,070246,2013,09,79.3,Y
IDCJAC0001,070246,2013,10,11.2,Y
IDCJAC0001,070246,2013,12,18.4,Y
IDCJAC0001,070246,2014,01,2.8,Y
IDCJAC0001,070246,2014,02,87.8,Y
IDCJAC0001,070246,2014,03,77.7,Y
IDCJAC0001,070246,2014,04,75.8,Y
IDCJAC0001,070246,2014,05,20.8,N
IDCJAC0001,070246,2014,06,53.4,Y
IDCJAC0001,070246,2014,07,18.0,Y
IDCJAC0001,070246,2014,08,35.7,Y
IDCJAC0001,070246,2014,09,35.7,Y
IDCJAC0001,070246,2014,10,49.8,Y
IDCJAC0001,070246,2014,11,30.4,Y
IDCJAC0001,070246,2014,12,104.8,Y
IDCJAC0001,070246,2015,01,127.8,Y
IDCJAC0001,070246,2015,02,48.2,Y
IDCJAC0001,070246,2015,03,16.8,Y
IDCJAC0001,070246,2015,04,100.6,Y
IDCJAC0001,070246,2015,05,15.8,Y
IDCJAC0001,070246,2015,06,74.4,Y
IDCJAC0001,070246,2015,07,41.4,Y
IDCJAC0001,070246,2015,08,72.8,Y
IDCJAC0001,070246,2015,09,16.8,Y
IDCJAC0001,070246,2015,10,21.4,Y
IDCJAC0001,070246,2015,11,91.6,Y
IDCJAC0001,070246,2015,12,29.5,Y
IDCJAC0001,070246,2016,01,102.6,Y
IDCJAC0001,070246,2016,02,24.0,Y
IDCJAC0001,070246,2016,03,33.0,Y
IDCJAC0001,070246,2016,04,6.6,Y
IDCJAC0001,070246,2016,05,50.0,Y
IDCJAC0001,070246,2016,06,147.9,Y
IDCJAC0001,070246,2016,08,44.6,Y
IDCJAC0001,070246,2016,09,159.0,Y
IDCJAC0001,070246,2016,10,50.0,Y
IDCJAC0001,070246,2016,11,64.8,Y
IDCJAC0001,070246,2016,12,61.2,Y
IDCJAC0001,070246,2017,01,13.8,Y
IDCJAC0001,070246,2017,02,18.6,Y
IDCJAC0001,070246,2017,04,36.4,Y
IDCJAC0001,070246,2017,05,33.2,Y
IDCJAC0001,070246,2017,06,1.0,Y
IDCJAC0001,070246,2017,07,17.4,Y
IDCJAC0001,070246,2017,08,48.0,Y
