Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086232,1985,09,57.0,Y
IDCJAC0001,086232,1985,10,70.8,Y
IDCJAC0001,086232,1985,11,82.2,Y
IDCJAC0001,086232,1985,12,148.0,Y
IDCJAC0001,086232,1986,01,38.2,Y
IDCJAC0001,086232,1986,02,17.0,Y
IDCJAC0001,086232,1986,03,18.2,Y
IDCJAC0001,086232,1986,04,58.1,Y
IDCJAC0001,086232,1986,05,73.1,Y
IDCJAC0001,086232,1986,06,34.0,Y
IDCJAC0001,086232,1986,07,88.2,Y
IDCJAC0001,086232,1986,08,45.6,Y
IDCJAC0001,086232,1986,09,40.6,Y
IDCJAC0001,086232,1986,10,65.3,Y
IDCJAC0001,086232,1986,11,41.0,Y
IDCJAC0001,086232,1986,12,58.2,Y
IDCJAC0001,086232,1987,01,65.2,Y
IDCJAC0001,086232,1987,02,73.9,Y
IDCJAC0001,086232,1987,03,42.0,Y
IDCJAC0001,086232,1987,04,21.7,Y
IDCJAC0001,086232,1987,05,63.3,Y
IDCJAC0001,086232,1987,06,67.2,Y
IDCJAC0001,086232,1987,07,79.7,Y
IDCJAC0001,086232,1987,08,23.8,Y
IDCJAC0001,086232,1987,09,36.2,Y
IDCJAC0001,086232,1987,10,49.2,Y
IDCJAC0001,086232,1987,11,74.8,Y
IDCJAC0001,086232,1987,12,91.9,Y
IDCJAC0001,086232,1988,01,46.6,Y
IDCJAC0001,086232,1988,02,13.6,Y
IDCJAC0001,086232,1988,03,23.7,Y
IDCJAC0001,086232,1988,04,8.2,Y
IDCJAC0001,086232,1988,05,74.1,Y
IDCJAC0001,086232,1988,06,57.4,Y
IDCJAC0001,086232,1988,07,58.7,Y
IDCJAC0001,086232,1988,08,58.5,Y
IDCJAC0001,086232,1988,09,53.9,Y
IDCJAC0001,086232,1988,10,33.4,Y
IDCJAC0001,086232,1988,11,163.4,Y
IDCJAC0001,086232,1988,12,80.3,Y
IDCJAC0001,086232,1989,01,53.3,Y
IDCJAC0001,086232,1989,02,98.2,Y
IDCJAC0001,086232,1989,03,84.9,Y
IDCJAC0001,086232,1989,04,71.0,Y
IDCJAC0001,086232,1989,05,63.4,Y
IDCJAC0001,086232,1989,06,49.6,Y
IDCJAC0001,086232,1989,07,59.4,Y
IDCJAC0001,086232,1989,08,83.9,Y
IDCJAC0001,086232,1989,09,52.4,Y
IDCJAC0001,086232,1989,10,88.7,Y
IDCJAC0001,086232,1989,11,35.8,Y
IDCJAC0001,086232,1989,12,71.0,Y
IDCJAC0001,086232,1990,01,2.0,Y
IDCJAC0001,086232,1990,02,74.6,Y
IDCJAC0001,086232,1990,03,31.2,Y
IDCJAC0001,086232,1990,04,94.2,Y
IDCJAC0001,086232,1990,05,18.7,Y
IDCJAC0001,086232,1990,06,39.4,Y
IDCJAC0001,086232,1990,07,92.7,Y
IDCJAC0001,086232,1990,08,58.0,Y
IDCJAC0001,086232,1990,09,40.8,Y
IDCJAC0001,086232,1990,10,103.6,Y
IDCJAC0001,086232,1990,11,52.5,Y
IDCJAC0001,086232,1990,12,25.7,Y
IDCJAC0001,086232,1991,01,80.8,Y
IDCJAC0001,086232,1991,02,0.8,Y
IDCJAC0001,086232,1991,03,61.0,Y
IDCJAC0001,086232,1991,04,37.7,Y
IDCJAC0001,086232,1991,05,21.0,Y
IDCJAC0001,086232,1991,06,125.7,Y
IDCJAC0001,086232,1991,07,59.6,Y
IDCJAC0001,086232,1991,08,54.4,Y
IDCJAC0001,086232,1991,09,86.5,Y
IDCJAC0001,086232,1991,10,27.4,Y
IDCJAC0001,086232,1991,11,20.5,Y
IDCJAC0001,086232,1991,12,106.1,Y
IDCJAC0001,086232,1992,01,45.1,Y
IDCJAC0001,086232,1992,02,19.1,Y
IDCJAC0001,086232,1992,03,27.3,Y
IDCJAC0001,086232,1992,04,39.0,Y
IDCJAC0001,086232,1992,05,79.4,Y
IDCJAC0001,086232,1992,06,45.2,Y
IDCJAC0001,086232,1992,07,33.1,Y
IDCJAC0001,086232,1992,08,66.1,Y
IDCJAC0001,086232,1992,09,131.4,Y
IDCJAC0001,086232,1992,10,109.9,Y
IDCJAC0001,086232,1992,11,177.0,Y
IDCJAC0001,086232,1992,12,98.4,Y
IDCJAC0001,086232,1993,01,92.2,Y
IDCJAC0001,086232,1993,02,62.9,Y
IDCJAC0001,086232,1993,03,38.5,Y
IDCJAC0001,086232,1993,04,27.4,Y
IDCJAC0001,086232,1993,05,38.7,Y
IDCJAC0001,086232,1993,06,54.2,Y
IDCJAC0001,086232,1993,07,45.0,Y
IDCJAC0001,086232,1993,08,60.1,Y
IDCJAC0001,086232,1999,01,26.8,Y
IDCJAC0001,086232,1999,02,31.4,Y
IDCJAC0001,086232,1999,04,35.4,Y
IDCJAC0001,086232,1999,05,58.2,Y
IDCJAC0001,086232,1999,06,47.0,Y
IDCJAC0001,086232,1999,07,14.2,Y
IDCJAC0001,086232,1999,08,84.8,Y
IDCJAC0001,086232,1999,09,28.0,Y
IDCJAC0001,086232,1999,10,62.4,Y
IDCJAC0001,086232,1999,11,35.4,Y
IDCJAC0001,086232,1999,12,131.2,Y
IDCJAC0001,086232,2000,01,31.0,Y
IDCJAC0001,086232,2000,02,35.4,Y
IDCJAC0001,086232,2000,03,27.0,Y
IDCJAC0001,086232,2000,04,42.2,Y
IDCJAC0001,086232,2000,05,87.8,Y
IDCJAC0001,086232,2000,06,40.6,Y
IDCJAC0001,086232,2000,07,52.2,Y
IDCJAC0001,086232,2000,08,46.2,Y
IDCJAC0001,086232,2000,11,40.9,Y
IDCJAC0001,086232,2001,01,12.4,Y
IDCJAC0001,086232,2001,03,79.6,Y
IDCJAC0001,086232,2001,05,19.6,Y
IDCJAC0001,086232,2001,08,53.2,Y
IDCJAC0001,086232,2001,09,44.4,Y
IDCJAC0001,086232,2001,10,80.4,Y
IDCJAC0001,086232,2002,01,38.6,Y
IDCJAC0001,086232,2002,02,77.6,Y
IDCJAC0001,086232,2002,03,31.3,Y
IDCJAC0001,086232,2002,04,43.2,Y
IDCJAC0001,086232,2002,05,35.8,Y
IDCJAC0001,086232,2002,06,29.0,Y
IDCJAC0001,086232,2002,07,30.7,Y
IDCJAC0001,086232,2002,08,47.9,Y
IDCJAC0001,086232,2002,09,34.1,Y
IDCJAC0001,086232,2002,10,29.2,Y
IDCJAC0001,086232,2002,11,28.0,Y
IDCJAC0001,086232,2002,12,11.0,Y
IDCJAC0001,086232,2003,01,13.4,Y
IDCJAC0001,086232,2003,02,18.2,Y
IDCJAC0001,086232,2003,03,18.4,Y
IDCJAC0001,086232,2003,04,68.2,Y
IDCJAC0001,086232,2003,05,25.2,Y
IDCJAC0001,086232,2003,06,36.4,Y
IDCJAC0001,086232,2003,07,73.0,Y
IDCJAC0001,086232,2003,08,54.2,Y
IDCJAC0001,086232,2003,09,36.0,Y
IDCJAC0001,086232,2003,10,68.0,Y
IDCJAC0001,086232,2003,11,15.4,Y
IDCJAC0001,086232,2003,12,65.4,Y
IDCJAC0001,086232,2004,01,52.8,Y
IDCJAC0001,086232,2004,03,13.8,Y
IDCJAC0001,086232,2004,04,51.2,Y
IDCJAC0001,086232,2004,05,24.2,Y
IDCJAC0001,086232,2004,06,44.2,Y
IDCJAC0001,086232,2004,07,37.1,Y
IDCJAC0001,086232,2004,08,68.7,Y
IDCJAC0001,086232,2004,10,64.4,Y
IDCJAC0001,086232,2004,11,118.0,Y
IDCJAC0001,086232,2004,12,51.2,Y
IDCJAC0001,086232,2005,01,20.6,Y
IDCJAC0001,086232,2005,03,12.0,Y
IDCJAC0001,086232,2005,04,26.8,Y
IDCJAC0001,086232,2005,05,10.6,Y
IDCJAC0001,086232,2005,06,40.4,Y
IDCJAC0001,086232,2005,07,25.8,Y
IDCJAC0001,086232,2005,08,60.0,Y
IDCJAC0001,086232,2005,09,43.4,Y
IDCJAC0001,086232,2005,10,41.2,Y
IDCJAC0001,086232,2005,11,56.0,Y
IDCJAC0001,086232,2005,12,60.4,Y
IDCJAC0001,086232,2006,01,53.2,Y
